PIPELINE_REPLICATE	01	02	03	04	05	06	07	08	09	10
ssp.00001	41	145	0	20	0	0	0	0	0	92
ssp.00002	41	0	8	37	0	0	31	0	0	6
ssp.00003	0	28	0	37	15	0	19	61	45	21
ssp.00004	0	61	22	41	0	26	0	0	0	29
ssp.00005	0	34	37	25	29	0	0	0	34	37
ssp.00006	11	0	22	31	0	56	33	0	34	61
ssp.00007	0	28	37	0	0	61	0	0	31	0
ssp.00008	21	49	36	0	0	0	0	0	0	25
ssp.00009	0	43	0	0	0	23	0	56	21	0
ssp.00010	0	0	16	19	28	0	0	67	49	13
ssp.00011	0	37	0	28	19	0	55	36	17	0
ssp.00012	15	41	61	37	31	41	28	0	0	0
ssp.00013	0	61	13	0	0	0	37	19	0	49
ssp.00014	25	19	31	36	0	37	45	0	43	41
ssp.00015	0	0	0	25	0	0	0	0	43	55
ssp.00016	28	0	34	0	0	49	37	37	0	0
ssp.00017	49	37	31	0	37	46	45	0	49	36
ssp.00018	13	0	46	0	0	22	31	0	0	31
ssp.00019	16	19	55	21	0	0	21	0	0	33
ssp.00020	67	0	23	0	73	56	0	19	0	0
ssp.00021	46	23	73	0	41	0	37	25	55	33
ssp.00022	0	0	28	11	25	0	21	67	31	0
ssp.00023	55	0	0	0	31	34	34	45	0	16
ssp.00024	0	0	0	34	0	0	21	0	0	25
ssp.00025	67	0	25	0	73	0	0	0	37	31
