PIPELINE_REPLICATE	01	02	03	04	05	06	07	08	09	10
ssp.00001	41	145	0	20	0	0	0	0	0	92
ssp.00002	71	0	16	40	0	0	39	0	0	11
ssp.00003	0	28	0	37	15	0	19	61	45	21
ssp.00004	0	61	22	41	0	26	0	0	0	29
ssp.00005	0	34	37	20	10	0	0	0	34	37
ssp.00006	11	0	22	13	0	19	33	0	8	61
ssp.00007	0	28	31	0	0	42	0	0	31	0
ssp.00008	21	49	19	0	0	0	0	0	0	25
ssp.00009	0	43	0	0	0	23	0	34	21	0
ssp.00010	0	0	0	0	0	0	0	0	0	0
ssp.00011	0	7	0	5	17	0	7	13	6	0
ssp.00012	15	41	26	37	31	41	12	0	0	0
ssp.00013	0	35	13	0	0	0	11	19	0	13
ssp.00014	25	19	8	35	0	18	45	0	43	41
ssp.00015	0	0	0	25	0	0	0	0	43	55
ssp.00016	9	0	34	0	0	26	37	37	0	0
ssp.00017	49	37	31	0	37	46	9	0	40	7
ssp.00018	13	0	17	0	0	22	31	0	0	22
ssp.00019	16	19	12	7	0	0	21	0	0	31
ssp.00020	5	0	19	0	10	2	0	19	0	0
ssp.00021	46	21	53	0	41	0	9	25	55	33
ssp.00022	0	0	7	11	25	0	21	67	9	0
ssp.00023	27	0	0	0	7	8	14	6	0	8
ssp.00024	0	0	0	34	0	0	21	0	0	25
ssp.00025	14	0	25	0	73	0	0	0	37	30
